,col
0,gastrocutaneous
1,decresed
2,capnocytophaga
3,grief
4,suction
5,neurosurgery
6,flooding
7,weaning
8,dissociated
9,two
10,amplitude
11,mgus
12,motility
13,filamentary
14,stimulator
15,charcotmarietooth
16,morpho
17,duct
18,distortions
19,gardners
20,peritoneum
21,regression
22,bullae
23,indirect
24,too
25,icsh
26,phalangoepiphyseal
27,embryonic
28,miotic
29,reticulosis
30,phosphate
31,kras
32,clanging
33,cystography
34,colitis
35,uvulitis
36,retractile
37,anosmia
38,methyl
39,sternitis
40,gammopathy
41,jelly
42,tortuosity
43,preduodenal
44,antimusk
45,hypolipoproteinaemia
46,tyrosine
47,neurinoma
48,hungry
49,pretibial
50,utero
51,chicken
52,keratoconus
53,acanthoma
54,hyperacusia
55,testosterone
56,endovaginal
57,claycoloured
58,macrocheiria
59,technique
60,paraphrenia
61,babbling
62,vasa
63,hepatojugular
64,pasteurellosis
65,luteinising
66,retroversion
67,pulmonale
68,enostosis
69,charles
70,fecaluria
71,cowdens
72,haemopexin
73,hysteropexy
74,unspec
75,scintigraphy
76,hypophysitis
77,macrognathia
78,jessners
79,attacks
80,vertebral
81,shoshin
82,rvf
83,nipple
84,ventriculography
85,dis
86,dysgerminoma
87,jd
88,cancers
89,groggy
90,niemannpick
91,dermosis
92,paragonimiasis
93,hypochromic
94,urethrotomy
95,fatigability
96,disturbed
97,ankles
98,needles
99,bradytachycardia
100,unequal
101,hydatid
102,actions
103,rosacea
104,gu
105,bronchiogenic
106,creep
107,antiro
108,dysnomia
109,osteomyelitis
110,ntprobnp
111,eight
112,pearsons
113,clavicle
114,flashbacks
115,problems
116,nevi
117,forearm
118,up
119,abstinence
120,contraception
121,tumorlike
122,pharyngitis
123,addisonian
124,zoster
125,astatine211
126,hypochlorite
127,chondroectodermal
128,molluscipoxvirus
129,bruising
130,onychotillomania
131,fourth
132,conjunctivae
133,abnormalityedemaeffusion
134,refused
135,outlet
136,sucking
137,reinfarction
138,oximetry
139,rsv
140,illusion
141,meesmans
142,strange
143,diarrhoea
144,accelerated
145,matricectomy
146,hydroxycorticosteroids
147,dependence
148,anisocytes
149,postrheumatic
150,neartotal
151,torulopsidosis
152,valine
153,top
154,psychopath
155,latent
156,bowmans
157,reference
158,classic
159,myocardiodystrophy
160,auricular
161,spermatic
162,patchy
163,antagonist
164,on
165,opacity
166,euthanasia
167,gartner
168,chat
169,silicone
170,overfill
171,spasmophilia
172,flutter
173,dialysis
174,endurance
175,diadynamic
176,circumscribed
177,periumbilical
178,leukocytes
179,staphyloma
180,complain
181,flexor
182,mucoviscidosis
183,hematemesis
184,periporitis
185,hantaviral
186,tractskin
187,myoglobin
188,retropubic
189,valgum
190,agonist
191,antiviral
192,hysterical
193,rectus
194,asthmaticus
195,srvs
196,antifibrinolysis
197,melanomas
198,cataract
199,nsaid
200,strands
201,magnetic
202,allergic
203,tobacco
204,esteem
205,infertility
206,pharmaceutical
207,bereavement
208,lightheadedness
209,dyslogia
210,palpatory
211,til
212,neurogenic
213,hymenectomy
214,bridging
215,appendix
216,bloodletting
217,related
218,tapvd
219,cyclophoria
220,syndromelike
221,prepatellar
222,imbalances
223,anthropophobia
224,soaps
225,intimamedia
226,glioma
227,imperfecta
228,glycaemia
229,nairovirus
230,askins
231,enteropathic
232,emancipation
233,bradylalia
234,nonresolving
235,pulselessness
236,asian
237,c1q
238,microductectomy
239,prophylaxsis
240,area
241,leaflet
242,selenium
243,leukocytosis
244,thrombocytoses
245,labeled
246,otorrhea
247,peritumoral
248,inflicted
249,mastalgia
250,salicylate
251,good
252,corneal
253,mosaicism
254,transam
255,activated
256,antismith
257,limbstrunk
258,septoplasty
259,hyperaesthesia
260,acariasis
261,leukotriene
262,advancement
263,bp
264,ludwig
265,vas
266,hypergastrinaemia
267,kelleyseegmiller
268,bursitis
269,unruptured
270,cereus
271,seronegative
272,myopotential
273,addh
274,prostatodynia
275,hsv
276,involving
277,freewall
278,defatting
279,salpingostomy
280,red
281,toxicologic
282,eosinophils
283,pseudohallucination
284,cryptophthalmos
285,molluscum
286,dacryops
287,angiocalcinosis
288,miscreated
289,hemiarthroplasty
290,orchiopexy
291,fasciitis
292,myofascial
293,diuretics
294,t3u
295,water
296,schnitzlers
297,unqualified
298,erythropenia
299,tenderness
300,dazed
301,convulsive
302,sympathicotonia
303,reation
304,osteochondritis
305,oedemas
306,anticyclic
307,pericardiocentesis
308,irreducible
309,inserted
310,spondylarthritis
311,perthes
312,imprisoned
313,primarily
314,sheath
315,iol
316,reverse
317,cleaved
318,colour
319,vsd
320,contamination
321,fascination
322,hemoglobinopathy
323,aspartate
324,nitrogen
325,globulin
326,successfully
327,intra
328,argentine
329,cupulolithiasis
330,dysautonomia
331,burn
332,bilateral
333,ph
334,betalactam
335,miscarriage
336,babesiosis
337,lacrimation
338,pains
339,wrong
340,stumbing
341,face
342,patient
343,extensor
344,atitude
345,metastasis
346,antepar
347,enthesitis
348,caval
349,haematoporphyrinuria
350,pseudoangina
351,scalenus
352,chalky
353,haemorrhagica
354,taenia
355,stone
356,parathyroidectomy
357,stressdue
358,humidity
359,dysphonia
360,weapon
361,goniodysgenesis
362,cardiomyopathies
363,sized
364,oculogyration
365,crack
366,jo1
367,polyp
368,worsened
369,ureterolysis
370,mucinous
371,oesophagoscopy
372,paraphilias
373,bursa
374,brenner
375,ans
376,aflatoxin
377,antineoplastic
378,inappetence
379,thyroxine
380,xo
381,cardia
382,eunuchoidism
383,glaucomatocyclitic
384,boil
385,cocaineinduced
386,gastroscopy
387,carpopedal
388,chondritis
389,polysubstance
390,fibrosing
391,lcad
392,consumption
393,presbyesophagus
394,cellularity
395,pathological
396,digestive
397,nonpolyposis
398,thalamotomy
399,haemangioendothelioma
400,dihydrotesterone
401,spirochaete
402,spd
403,pharyngotracheal
404,forsters
405,dyschromatopsia
406,support
407,men
408,uropathy
409,lesions
410,proinsulin
411,macrocytosis
412,lentivirus
413,scapulothoracic
414,opacification
415,glomerulonephropathy
416,submucous
417,carcinogenicity
418,aidsassociated
419,paraparesis
420,frenzy
421,punctum
422,fecaloma
423,chelonae
424,visualisation
425,wo
426,efflorescence
427,chondrosarcomatous
428,astrovirus
429,eia
430,parametropathia
431,fructose
432,confined
433,hypernitraemia
434,global
435,mycobacteriosis
436,urinalyses
437,toxicity
438,tapeworm
439,sedimendation
440,papanicolaou
441,normocytic
442,nonpurulent
443,four
444,staturoponderal
445,whooping
446,addicted
447,megalocardia
448,glossodynia
449,failed
450,mugged
451,antirheumatics
452,recrudescent
453,bi
454,avian
455,haemoconcentration
456,schistocytes
457,quandrant
458,posteroinferior
459,ulnocarpal
460,pernicious
461,twelve
462,ostial
463,streptozyme
464,hepatomegaly
465,crawling
466,pleuracentesis
467,differentiation
468,chills
469,choreoathetoid
470,dyscrasia
471,copy
472,aicardis
473,satoyoshi
474,noonan
475,leukaemic
476,salpingooophorectomy
477,endocardium
478,containing
479,erythropsia
480,esophagostomy
481,sreaming
482,hypertriglyceridemia
483,cosleeping
484,megaloblastic
485,leprosy
486,calcivirus
487,change
488,reticularis
489,endometrium
490,ringing
491,enteritidis
492,acnes
493,lymphocytoma
494,vesicles
495,zenkers
496,melas
497,sanguinous
498,curette
499,variegate
500,trace
501,monomelic
502,keloid
503,phlebitis
504,gonitis
505,paraspinal
506,tap
507,corynebacterium
508,bacillus
